,year_month,Date,Open,High,Low,Close,Volume,granularity
283,1999-10,1999-10-29,1342.44,1373.17,1342.44,1362.93,622500000,month_end
284,1999-11,1999-11-30,1407.83,1410.59,1386.95,1389.07,528611111,month_end
285,1999-12,1999-12-31,1466.71,1472.42,1463.41,1469.25,207805556,month_end
286,2000-01,2000-01-31,1360.16,1394.48,1350.14,1394.46,552111111,month_end
287,2000-02,2000-02-29,1348.05,1369.63,1348.05,1366.42,669055556,month_end
288,2000-03,2000-03-31,1487.92,1519.81,1484.38,1498.58,681888889,month_end
289,2000-04,2000-04-28,1464.92,1473.62,1448.15,1452.43,547000000,month_end
290,2000-05,2000-05-31,1422.44,1434.49,1415.5,1420.6,533611111,month_end
291,2000-06,2000-06-30,1442.39,1454.68,1438.71,1454.6,810944444,month_end
292,2000-07,2000-07-31,1419.89,1437.65,1418.71,1430.83,529222222,month_end
293,2000-08,2000-08-31,1502.59,1525.21,1502.59,1517.68,587000000,month_end
294,2000-09,2000-09-29,1458.29,1458.29,1436.29,1436.51,665055556,month_end
295,2000-10,2000-10-31,1398.66,1432.22,1398.66,1429.4,759111111,month_end
296,2000-11,2000-11-30,1341.91,1341.91,1294.9,1314.95,659183333,month_end
297,2000-12,2000-12-29,1334.22,1340.1,1317.51,1320.28,575277778,month_end
298,2001-01,2001-01-31,1373.73,1383.37,1364.66,1366.01,719611111,month_end
299,2001-02,2001-02-28,1257.94,1263.47,1229.65,1239.94,680722222,month_end
300,2001-03,2001-03-30,1147.95,1162.8,1143.83,1160.33,711555556,month_end
301,2001-04,2001-04-30,1253.05,1269.3,1243.99,1249.46,703777778,month_end
302,2001-05,2001-05-31,1248.08,1261.91,1248.07,1255.82,681444444,month_end
303,2001-06,2001-06-29,1226.2,1237.29,1221.14,1224.38,1017977778,month_end
304,2001-07,2001-07-31,1204.52,1222.74,1204.52,1211.23,627333333,month_end
305,2001-08,2001-08-31,1129.03,1141.83,1126.38,1133.58,511166667,month_end
306,2001-09,2001-09-28,1018.61,1040.94,1018.61,1040.94,906388889,month_end
307,2001-10,2001-10-31,1059.79,1074.79,1057.55,1059.78,751388889,month_end
308,2001-11,2001-11-30,1140.2,1143.57,1135.89,1139.45,746444444,month_end
309,2001-12,2001-12-31,1161.02,1161.16,1148.04,1148.08,524222222,month_end
310,2002-01,2002-01-31,1113.57,1130.21,1113.3,1130.2,865000000,month_end
311,2002-02,2002-02-28,1109.89,1121.57,1106.73,1106.73,773444444,month_end
312,2002-03,2002-03-28,1144.58,1154.45,1144.58,1147.39,637555556,month_end
313,2002-04,2002-04-30,1065.45,1082.62,1063.46,1076.92,904777778,month_end
314,2002-05,2002-05-31,1064.66,1079.93,1064.66,1067.14,709611111,month_end
315,2002-06,2002-06-28,990.64,1001.79,988.31,989.82,1176111111,month_end
316,2002-07,2002-07-31,902.78,911.64,889.88,911.62,1138533333,month_end
317,2002-08,2002-08-30,917.8,928.15,910.17,916.07,516611111,month_end
318,2002-09,2002-09-30,827.37,827.37,800.2,815.28,956594444,month_end
319,2002-10,2002-10-31,890.71,898.83,879.75,885.76,911833333,month_end
320,2002-11,2002-11-29,938.87,941.82,935.58,936.31,357477778,month_end
321,2002-12,2002-12-31,879.39,881.93,869.45,879.82,604722222,month_end
322,2003-01,2003-01-31,844.61,858.33,840.34,855.7,876961111,month_end
323,2003-02,2003-02-28,837.28,847.0,837.28,841.15,762944444,month_end
324,2003-03,2003-03-31,863.5,863.5,843.68,848.18,830833333,month_end
325,2003-04,2003-04-30,917.84,922.01,911.7,916.92,993616667,month_end
326,2003-05,2003-05-30,949.64,965.38,949.64,963.59,938222222,month_end
327,2003-06,2003-06-30,976.22,983.61,973.6,974.5,881777778,month_end
328,2003-07,2003-07-31,987.49,1004.59,987.49,990.31,893333333,month_end
329,2003-08,2003-08-29,1002.84,1008.85,999.52,1008.01,525055556,month_end
330,2003-09,2003-09-30,1006.58,1006.58,990.36,995.97,883611111,month_end
331,2003-10,2003-10-31,1046.94,1053.09,1046.94,1050.71,832722222,month_end
332,2003-11,2003-11-28,1058.45,1060.63,1056.77,1058.2,270677778,month_end
333,2003-12,2003-12-31,1109.64,1112.56,1106.21,1111.92,570833333,month_end
334,2004-01,2004-01-30,1134.11,1134.17,1127.73,1131.13,908333333,month_end
335,2004-02,2004-02-27,1145.8,1151.68,1141.8,1144.94,855777778,month_end
336,2004-03,2004-03-31,1127.0,1130.83,1121.46,1126.21,867055556,month_end
337,2004-04,2004-04-30,1113.89,1119.26,1107.23,1107.3,908166667,month_end
338,2004-05,2004-05-28,1121.28,1122.69,1118.1,1120.68,651444444,month_end
339,2004-06,2004-06-30,1136.2,1144.2,1133.62,1140.84,818777778,month_end
